"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"no movement , no yuks , not [[much]] of anything","no movement , no yuks , not [[muMch]] of anything",0.00526583194732666,0.017785847187042236,0.0,0.0,0.0,120.0,"Failed"
"a gob of drivel so [[sickly]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e","a gob of drivel so [[sifkly]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e",0.02239394187927246,0.21843749284744263,0.0,0.0,0.0,368.0,"Failed"
"gangs of new york is an unapologetic [[mess]] , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic [[mezs]] , whose only saving grace is that it ends by blowing just about everything up",0.0011275410652160645,0.004484593868255615,0.0,0.0,0.0,322.0,"Failed"
"we [[never]] really feel involved with the story , as all of its ideas remain just that abstract ideas","we [[neevr]] really feel involved with the story , as all of its ideas remain just that abstract ideas",0.0016666054725646973,0.9879374504089355,0.0,1.0,0.0,253.0,"Successful"
"this is one of polanski 's [[best]] films","this is one of polanski 's [[bst]] films",0.0006439089775085449,0.9869798421859741,1.0,0.0,1.0,85.0,"Successful"
"take care of my cat offers a [[refreshingly]] different slice of asian cinema","take care of my cat offers a [[refresgingly]] different slice of asian cinema",0.0004885196685791016,0.003666400909423828,1.0,1.0,1.0,280.0,"Failed"
"acting , particularly by tambor , [[almost]] makes `` never again '' worthwhile , but lrb writer director rrb schaeffer should follow his titular advice","acting , particularly by tambor , [[aljost]] makes `` never again '' worthwhile , but lrb writer director rrb schaeffer should follow his titular advice",0.09516030550003052,0.5862141847610474,0.0,1.0,0.0,501.0,"Successful"
"the movie exists for its soccer action and its [[fine]] acting","the movie exists for its soccer action and its [[fibe]] acting",0.0005322098731994629,0.9498702883720398,1.0,0.0,1.0,152.0,"Successful"
"arnold 's jump from little screen to big will leave [[frowns]] on more than a few faces","arnold 's jump from little screen to big will leave [[frowens]] on more than a few faces",0.03978675603866577,0.9989768266677856,0.0,1.0,0.0,171.0,"Successful"
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the [[crap]] lrb literally rrb","if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the [[crwp]] lrb literally rrb",0.00179290771484375,0.0031374692916870117,0.0,0.0,0.0,392.0,"Failed"
"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor [[makes]] up for a lot","jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor [[maues]] up for a lot",0.08598923683166504,0.9942896366119385,1.0,0.0,1.0,318.0,"Successful"
"even as lame horror flicks go , this is [[lame]]","even as lame horror flicks go , this is [[lake]]",0.0013139843940734863,0.9986492395401001,0.0,1.0,0.0,98.0,"Successful"
"oft described as the antidote to american pie type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough","oft described as the antidote to american pie type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",0.9860352277755737,0.9860352277755737,1.0,1.0,0.0,1.0,"Skipped"
"though the violence is far less sadistic than usual , the film is typical miike fast , furious and full of off the cuff imaginative [[flourishes]]","though the violence is far less sadistic than usual , the film is typical miike fast , furious and full of off the cuff imaginative [[flurishes]]",0.0012407302856445312,0.5876447558403015,1.0,0.0,1.0,462.0,"Successful"
"when a set of pre shooting guidelines a director came up with for his actors turns out to be cleverer , better [[written]] and of considerable more interest than the finished film , that 's a bad sign","when a set of pre shooting guidelines a director came up with for his actors turns out to be cleverer , better [[wlritten]] and of considerable more interest than the finished film , that 's a bad sign",0.0013257265090942383,0.0019527673721313477,0.0,0.0,0.0,536.0,"Failed"
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so [[lovingly]] and perceptively filmed that you can almost taste the desiccated air","the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so [[lovinlgy]] and perceptively filmed that you can almost taste the desiccated air",0.0007841587066650391,0.02110844850540161,1.0,1.0,1.0,604.0,"Failed"
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your [[ticket]]","if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your [[ticjet]]",0.16007989645004272,0.983318030834198,1.0,0.0,1.0,393.0,"Successful"
"any one [[episode]] of the sopranos would send this ill conceived folly to sleep with the fishes","any one [[eoisode]] of the sopranos would send this ill conceived folly to sleep with the fishes",0.0019738078117370605,0.006543457508087158,0.0,0.0,0.0,240.0,"Failed"
"as conceived by mr schaeffer , christopher and grace are [[little]] more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell","as conceived by mr schaeffer , christopher and grace are [[litle]] more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell",0.00662994384765625,0.6965591907501221,0.0,1.0,0.0,727.0,"Successful"
"those who managed to [[avoid]] the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85 minute brush up course with the documentary derrida","those who managed to [[avkid]] the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85 minute brush up course with the documentary derrida",0.33876776695251465,0.7412823438644409,0.0,1.0,0.0,659.0,"Successful"
"most new movies have a [[bright]] sheen","most new movies have a [[brught]] sheen",0.0010499358177185059,0.9931851029396057,1.0,0.0,1.0,88.0,"Successful"
"but what saves lives on the freeway does not necessarily [[make]] for persuasive viewing","but what saves lives on the freeway does not necessarily [[maie]] for persuasive viewing",0.002627849578857422,0.43348443508148193,0.0,0.0,0.0,273.0,"Failed"
"steve irwin 's method is ernest hemmingway at accelerated speed and [[volume]]","steve irwin 's method is ernest hemmingway at accelerated speed and [[vlume]]",0.012792766094207764,0.966616153717041,1.0,0.0,1.0,279.0,"Successful"
"[[nicely]] serves as an examination of a society in transition","[[nbicely]] serves as an examination of a society in transition",0.001155257225036621,0.04289752244949341,1.0,1.0,1.0,226.0,"Failed"
"the film would work much [[better]] as a video installation in a museum , where viewers would be free to leave","the film would work much [[bettwr]] as a video installation in a museum , where viewers would be free to leave",0.002981901168823242,0.30847227573394775,0.0,0.0,0.0,323.0,"Failed"
"culkin exudes [[none]] of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character","culkin exudes [[nine]] of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character",0.0010080933570861816,0.9944244623184204,0.0,1.0,0.0,479.0,"Successful"
"the whole thing [[plays]] out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit","the whole thing [[pays]] out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit",0.01019829511642456,0.5914766788482666,0.0,1.0,0.0,355.0,"Successful"
"not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always [[interesting]] , and those are reasons enough to see it","not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always [[ihteresting]] , and those are reasons enough to see it",0.00040584802627563477,0.0047263503074646,1.0,1.0,1.0,425.0,"Failed"
