"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"no [[movement]] , no [[yuks]] , not [[much]] of anything","no [[pain]] , no [[noise]] , not [[even]] of anything",0.00526583194732666,0.08616369962692261,0.0,0.0,0.0,59.0,"Failed"
"a gob of drivel so [[sickly]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e","a gob of drivel so [[utterly]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e",0.02239394187927246,0.8065983653068542,0.0,1.0,0.0,42.0,"Successful"
"gangs of new york is an unapologetic [[mess]] , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic [[play]] , whose only saving grace is that it ends by blowing just about everything up",0.0011275410652160645,0.00166398286819458,0.0,0.0,0.0,25.0,"Failed"
"we [[never]] really feel involved with the story , as all of its ideas remain just that abstract ideas","we [[still]] really feel involved with the story , as all of its ideas remain just that abstract ideas",0.0016666054725646973,0.9890804290771484,0.0,1.0,0.0,29.0,"Successful"
"this is one of polanski 's [[best]] films","this is one of polanski 's [[only]] films",0.0006439089775085449,0.9704603552818298,1.0,0.0,1.0,16.0,"Successful"
"take care of my cat [[offers]] a [[refreshingly]] different [[slice]] of asian cinema","take care of my cat [[used]] a [[relatively]] different [[description]] of asian cinema",0.0004885196685791016,0.9594817757606506,1.0,0.0,1.0,140.0,"Successful"
"acting , particularly by tambor , [[almost]] makes `` never again '' worthwhile , but lrb writer director rrb schaeffer should follow his titular advice","acting , particularly by tambor , [[really]] makes `` never again '' worthwhile , but lrb writer director rrb schaeffer should follow his titular advice",0.09516066312789917,0.7755905389785767,0.0,1.0,0.0,62.0,"Successful"
"the movie exists for its soccer action and its [[fine]] acting","the movie exists for its soccer action and its [[poor]] acting",0.0005322098731994629,0.9988042712211609,1.0,0.0,1.0,27.0,"Successful"
"arnold 's [[jump]] from [[little]] screen to big will leave frowns on more than a few faces","arnold 's [[leap]] from [[wide]] screen to big will leave frowns on more than a few faces",0.039786577224731445,0.7970499396324158,0.0,1.0,0.0,54.0,"Successful"
"if this holiday movie is [[supposed]] to be a gift , somebody unwrapped it [[early]] , took out all the good stuff , and left behind the crap [[lrb]] literally rrb","if this holiday movie is [[gonna]] to be a gift , somebody unwrapped it [[first]] , took out all the good stuff , and left behind the crap [[s]] literally rrb",0.00179290771484375,0.0073105692863464355,0.0,0.0,0.0,65.0,"Failed"
