text,label,augment
"a campaigning , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,textfooler
"a stirring , funny and finally ferrying re-imagining of beauty and the beast and 1930s horror films",1,textfooler
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,clean
apparently reassembled from the cutting-room floor of any made daytime soap .,0,textfooler
plainly reassembled from the cutting-room floor of any given daytime soap .,0,textfooler
apparently reassembled from the cutting-room floor of any given daytime soap .,0,clean
"they presume their audience kt n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction substances of bug-eyed monsters and futuristic women in skimpy standup .",0,textfooler
"they presume their audience wo n't sit moreover for a sociology teach , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic feminine in skimpy clothes .",0,textfooler
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,clean
"this is a visually stunning rumination on beloved , memory , history and the war between art and commerce .",1,textfooler
"this is a visually stunning rumination on love , memory , history and the struggles between art and commerce .",1,textfooler
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,clean
jonathan hodges 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,textfooler
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie moviemaking .,1,textfooler
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,clean
campanella gets the tone just right -- funny in the middlemen of sad in the middle of hopeful .,1,textfooler
campanella perceives the tone just right -- funny in the middle of sad in the middle of hopeful .,1,textfooler
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,clean
a fan film that for the uninitiated plays better on video with the sonar turned down .,0,textfooler
a fan film that for the uninitiated plays better on video with the sound treated down .,0,textfooler
a fan film that for the uninitiated plays better on video with the sound turned down .,0,clean
"béart and berling are both superb , while huppert ... is handsome .",1,textfooler
"béart and berling are both superb , while huppert ... is sublime .",1,textfooler
"béart and berling are both superb , while huppert ... is magnificent .",1,clean
"a little less extreme than in the latter , with longer exposition sequences between them , and with fewer gags to break the dullness .",0,textfooler
"a little less extreme than in the past , with further expos sequences between them , and with fewer gags to break the tedium .",0,textfooler
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,clean
the cinemas is strictly routine .,0,textfooler
the scorsese is strictly routine .,0,textfooler
the film is strictly routine .,0,clean
a lyrical metaphor for cultural and personal self-discovery and a picaresque notice of a little-remembered world .,1,textfooler
a lyrical metaphor for cultural and personal self-discovery and a picaresque notices of a little-remembered world .,1,textfooler
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,clean
the most repugnant adaptation of a classic literature since roland joffé and demi moore 's the scarlet letter .,0,textfooler
the most repugnant adaptation of a classic text since roland joffé and vanessa moore 's the scarlet letter .,0,textfooler
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,clean
"for something as splendid-looking as this exclusive film , the viewer expects something special but instead becoming -lrb- sci-fi -rrb- rehash .",0,textfooler
"for something as splendid-looking as this particular film , the viewer foresee something special but instead gaining -lrb- sci-fi -rrb- rehash .",0,textfooler
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,clean
"this is a astounding film , a one-of-a-kind tour de force .",1,textfooler
"this is a stunning video , a one-of-a-kind tour de force .",1,textfooler
"this is a stunning film , a one-of-a-kind tour de force .",1,clean
"may be more genial than ingenious , but it gets the job played .",1,textfooler
"may be more genial than perceptive , but it gets the job done .",1,textfooler
"may be more genial than ingenious , but it gets the job done .",1,clean
"there is a freedom to look stunts that are this crude , this fast-paced and this insane .",1,textfooler
"there is a freedom to pondering stunts that are this crude , this fast-paced and this insane .",1,textfooler
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,clean
"if the tuxedo actually were a suit , it owe fit chan like a $ 99 bargain-basement special .",0,textfooler
"if the tuxedo actually were a tailoring , it would fit chan like a $ 99 bargain-basement special .",0,textfooler
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0,clean
"as chut , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with fantastic serenity and discipline .",1,textfooler
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless trabajo with remarkable serenity and strict .",1,textfooler
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1,clean
final sentence : you 've seen it all before .,0,textfooler
final verdict : you 've consulted it all before .,0,textfooler
final verdict : you 've seen it all before .,0,clean
"blue crush follows the formula , but throws in too many conflicts to keep the novels compelling .",0,textfooler
"blue demolishing follows the formula , but throws in too many conflicts to keep the story compelling .",0,textfooler
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",0,clean
you ... get a sense of good intentions derailed by a failure to seek and knock just the right tone .,0,textfooler
you ... get a sense of good intentions derailed by a inadequacy to seek and strike just the right tone .,0,textfooler
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,0,clean
"a slick , edifying melodrama .",1,textfooler
"a slick , engrossing clichéd .",1,textfooler
"a slick , engrossing melodrama .",1,clean
a wretched filmmakers that reduces the second world war to one man 's quest to find an old flame .,0,textfooler
a wretched movie that reduces the second world war to one man 's quest to arrives an old flame .,0,textfooler
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,clean
