	sentence	label
1	both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .	0
2	mr. deeds is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor .	0
3	arteta directs one of the best ensemble casts of the year	0
5	feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .	0
6	while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .	0
7	it 's a fine , old-fashioned-movie movie , which is to say it 's unburdened by pretensions to great artistic significance .	0
8	unless there are zoning ordinances to protect your community from the dullest science fiction , impostor is opening today at a theater near you .	0
9	but it also has many of the things that made the first one charming .	0
10	it dabbles all around , never gaining much momentum .	0
11	pan nalin 's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic .	0
13	less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling (though no less horrifying for it) .	0
14	it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .	0
15	plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .	0
16	rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ; it 's simply crude and unrelentingly exploitative .	0
17	birthday girl lucks out with chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker turns .	0
18	your 20th outing shows off a lot of stamina and vitality , and get this , madonna 's cameo does n't suck !	0
19	like a can of 2-day old coke .	0
20	wendigo wants to be a monster movie for the art-house crowd , but it falls into the trap of pretention almost every time .	0
21	more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films .	0
22	boy , has this franchise ever run out of gas .	0
23	(soderbergh) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness .	0
24	it 's a compelling and horrifying story , and the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america .	0
25	murder by numbers just does n't add up .	0
26	... manages to deliver a fair bit of vampire fun .	0
27	there is n't one moment in the film that surprises or delights .	0
28	unfortunately , one hour photo lives down to its title .	0
29	neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .	0
30	the film is an earnest try at beachcombing verismo , but it would be even more indistinct than it is were it not for the striking , quietly vulnerable personality of ms. ambrose .	0
31	a modest masterpiece .	0
32	simple , poignant and leavened with humor , it 's a film that affirms the nourishing aspects of love and companionship .	0
33	what one is left with , even after the most awful acts are committed , is an overwhelming sadness that feels as if it has made its way into your very bloodstream .	0
34	humorous and heartfelt , douglas mcgrath 's version of ` nicholas nickleby ' left me feeling refreshed and hopeful .	0
35	children and adults enamored of all things pokemon wo n't be disappointed .	0
36	it sounds like another clever if pointless excursion into the abyss , and that 's more or less how it plays out .	0
37	it may not be a huge cut of above the rest , but i enjoyed barbershop .	0
39	connoisseurs of chinese film will be pleased to discover that tian 's meticulous talent has not withered during his enforced hiatus .	0
40	a fine effort , an interesting topic , some intriguing characters and a sad ending .	0
41	rollerball is as bad as you think , and worse than you can imagine .	0
42	what begins brightly gets bogged down over 140 minutes .	0
43	the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .	0
44	the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .	0
46	whether jason x is this bad on purpose is never clear .	0
47	i like it .	0
48	like the best 60 minutes exposé , the film (at 80 minutes) is actually quite entertaining .	0
49	gangster no. 1 is solid , satisfying fare for adults .	0
50	the importance of being earnest , so thick with wit it plays like a reading from bartlett 's familiar quotations	0
51	entertaining enough , but nothing new	0
52	cattaneo reworks the formula that made the full monty a smashing success ... but neglects to add the magic that made it all work .	0
53	the sum of all fears pretends to be a serious exploration of nuclear terrorism , but it 's really nothing more than warmed-over cold war paranoia .	0
54	(moore 's) better at fingering problems than finding solutions .	0
55	a fun family movie that 's suitable for all ages -- a movie that will make you laugh , cry and realize , ` it 's never too late to believe in your dreams . '	0
56	the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .	0
58	the characters are based on stock clichés , and the attempt to complicate the story only defies credibility .	0
59	ver wiel 's desperate attempt at wit is lost , leaving the character of critical jim two-dimensional and pointless .	0
60	most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement .	0
61	everyone 's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .	0
62	unlike most surf movies , blue crush thrillingly uses modern technology to take the viewer inside the wave .	0
63	ultimately this is a frustrating patchwork : an uneasy marriage of louis begley 's source novel (about schmidt) and an old payne screenplay .	0
64	visually striking and viscerally repellent .	0
65	with dirty deeds , david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .	0
66	one suspects that craven endorses they simply because this movie makes his own look much better by comparison .	0
67	fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .	0
68	it 's not like having a real film of nijinsky , but at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered .	0
70	monte cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .	0
71	both lead performances are oscar-size .	0
72	- west coast rap wars , this modern mob music drama never fails to fascinate .	0
73	why ?	0
74	functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing .	0
75	twenty years later , e.t. is still a cinematic touchstone .	0
76	this is a movie full of grace and , ultimately , hope .	0
78	though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .	0
79	deuces wild is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence .	0
80	shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan .	0
82	everything in maid in manhattan is exceedingly pleasant , designed not to offend .	0
83	sweet home alabama certainly wo n't be remembered as one of (witherspoon 's) better films .	0
85	a dark comedy that goes for sick and demented humor simply to do so .	0
87	for all the charm of kevin kline and a story that puts old-fashioned values under the microscope , there 's something creepy about this movie .	0
88	a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .	0
89	and there 's the inimitable diaz , holding it all together .	0
90	nicholas nickleby celebrates the human spirit with such unrelenting dickensian decency that it turned me (horrors !)	0
91	what begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .	0
