"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"no [[movement]] , no yuks , not [[much]] of anything","no [[homelessness]] , no yuks , not [[radically]] of anything",0.00526583194732666,0.4228563904762268,0.0,0.0,0.0,80.0,"Failed"
"a gob of drivel so [[sickly]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e","a gob of drivel so [[affection]] sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr me br l e",0.02239394187927246,0.6584914922714233,0.0,1.0,0.0,63.0,"Successful"
"gangs of new york is an unapologetic [[mess]] , whose only saving grace is that it [[ends]] by [[blowing]] just about everything up","gangs of new york is an unapologetic [[upheaval]] , whose only saving grace is that it [[finishes]] by [[breathes]] just about everything up",0.0011275410652160645,0.8286792039871216,0.0,1.0,0.0,121.0,"Successful"
"we never [[really]] feel involved with the story , as all of its ideas remain just that abstract ideas","we never [[awfully]] feel involved with the story , as all of its ideas remain just that abstract ideas",0.0016666054725646973,0.7836501002311707,0.0,1.0,0.0,58.0,"Successful"
"this is one of [[polanski]] 's [[best]] [[films]]","this is one of [[coppola]] 's [[more]] [[footage]]",0.0006439089775085449,0.09499412775039673,1.0,1.0,1.0,60.0,"Failed"
"take care of my cat [[offers]] a [[refreshingly]] different [[slice]] of asian cinema","take care of my cat [[anticipates]] a [[thankfully]] different [[lowering]] of asian cinema",0.0004885196685791016,0.943211019039154,1.0,0.0,1.0,145.0,"Successful"
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but lrb writer director rrb schaeffer [[should]] follow his titular advice","acting , particularly by tambor , almost makes `` never again '' worthwhile , but lrb writer director rrb schaeffer [[shall]] follow his titular advice",0.09516066312789917,0.5595654249191284,0.0,1.0,0.0,56.0,"Successful"
"the movie exists for its soccer [[action]] and its [[fine]] acting","the movie exists for its soccer [[precautions]] and its [[loverly]] acting",0.0005322098731994629,0.5032587051391602,1.0,0.0,1.0,72.0,"Successful"
"arnold 's jump from little screen to big will leave [[frowns]] on more than a few faces","arnold 's jump from little screen to big will leave [[sighs]] on more than a few faces",0.039786577224731445,0.9974268674850464,0.0,1.0,0.0,59.0,"Successful"
"if this holiday movie is [[supposed]] to [[be]] a gift , [[somebody]] unwrapped it early , took out all the good stuff , and [[left]] behind the [[crap]] lrb literally rrb","if this holiday movie is [[felt]] to [[come]] a gift , [[allen]] unwrapped it early , took out all the good stuff , and [[going]] behind the [[baloney]] lrb literally rrb",0.00179290771484375,0.7756726145744324,0.0,1.0,0.0,148.0,"Successful"
"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor [[makes]] up for a lot","jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor [[entails]] up for a lot",0.08598935604095459,0.8028829097747803,1.0,0.0,1.0,72.0,"Successful"
"even as lame horror flicks go , this is [[lame]]","even as lame horror flicks go , this is [[decadent]]",0.0013139843940734863,0.998650074005127,0.0,1.0,0.0,50.0,"Successful"
